,title,company,location,salary,job_type,summary,link_job,company_link
63,newSoftware Engineer,Karat,"Los Angeles, CA",,Full-time,"Creating a decoupled debit card from scratch, analytics tools to help influencers understand their finances, or savings accounts with features designed to…",https://www.indeed.com/company/Karat/jobs/Software-Engineer-9365bee7a2472134?fccid=9136600535b52eae&vjs=3,
64,newJunior Software Engineer (SRE),Internet Security Research Group,Remote,90000.0,Full-time,"Significant contributions to an open source software project.
For example, learning to manage firewalls and routers, work with automation tools like SaltStack,…",https://www.indeed.com/rc/clk?jk=3a54d3516d700005&fccid=005b60d143c47b08&vjs=3,
65,newSoftware Engineer,PayPal,"Remote in Brunswick, GA 31520+72 locations",,Full-time,"Besides writing scalable and maintainable code, you will be challenged with building products that have an exceptional user and developer experience.",https://www.indeed.com/rc/clk?jk=df765b541803d04b&fccid=978d9fd9799d55a8&vjs=3,https://www.indeed.com/cmp/Paypal
66,Frontend Software Engineer,SAMBA TV,Remote,,Full-time,"Work with our data and engage with millions of our daily customers to deliver amazing and lasting experiences.
Collaborate and communicate across the company.",https://www.indeed.com/company/Samba-TV/jobs/Frontend-Software-Engineer-0de3e8e39f7371f2?fccid=1b1ea228444c6924&vjs=3,
67,Software Engineer II,Stessa,+5 locationsRemote,,Full-time,"Proficient in at least one programming language (Python, Go, Node.js, Ruby, or something similar)Backed by a strong understanding of software engineering…",https://www.indeed.com/rc/clk?jk=eb2a940094141493&fccid=ace0e92bc3d117d7&vjs=3,
68,Junior Software Engineer (College Graduates),Old Mission,"Chicago, IL 60654 (River North area)",,,Our development program is geared for college graduates who want to work alongside our talented software engineers creating impactful solutions to further the…,https://www.indeed.com/rc/clk?jk=4e9113d400a9586a&fccid=01409da653ee7fb7&vjs=3,
69,Software Engineer,The MITRE Corporation,"McLean, VA+26 locations",,Full-time,"Having experts in a wide variety of domains (e.g., big data infrastructure, deep learning, software architecture, aviation data, etc.), we rely on regular cross…",https://www.indeed.com/rc/clk?jk=a00584dbec3f6169&fccid=30bd8a58380c700b&vjs=3,https://www.indeed.com/cmp/Mitre-2
70,newSoftware Engineer I,Principal Financial Group,"Remote in Des Moines, IA+11 locations",58000.0,Full-time,"The ability to have a great job and a great life.
Use a variety of tools to create or update automation we rely on to keep systems healthy.",https://www.indeed.com/rc/clk?jk=4faeddaec330eeed&fccid=591be181c58fd89d&vjs=3,https://www.indeed.com/cmp/Principal-Financial-Group
71,"newSoftware QA Engineer, Senior",Zebra Technologies,Remote+2 locations,,Full-time,"Experience testing RESTful API using Postman or similar tool.
Performs system integration of software and hardware to maintain through put and program…",https://www.indeed.com/rc/clk?jk=7129c74d3ffdfe30&fccid=cc39af3a7bb5a4d8&vjs=3,https://www.indeed.com/cmp/Zebra-Technologies
72,Software Engineer,Imperium Dynamics,"Chicago, IL",,Full-time,"Develop quality software and web applications.
Analyze and maintain existing software applications.
Design highly scalable, testable code.",https://www.indeed.com/rc/clk?jk=c8c785fc16e5536f&fccid=99e58975277cb23b&vjs=3,
73,newAssociate Software Engineer,CPSI,+2 locationsRemote,,Full-time,"Excellent communication (written and oral) and interpersonal skills.
Must be detail oriented and able to follow through on issues to resolution.",https://www.indeed.com/company/CPSI/jobs/Associate-Software-Engineer-7fc5de871a58cc62?fccid=b96ae80ac6a0c574&vjs=3,https://www.indeed.com/cmp/Cpsi-8
74,Software Engineer - Cloud & Compute (Full-Time Remote or Hyb...,TARGET,"Remote in Brooklyn Park, MN 55445+6 locations",64600.0,Full-time,"Utilizing version control products, preferably with Git.
Our platforms provide the compute, storage, deployment, monitoring, telemetry, cloud, hardware, IoT and…",https://www.indeed.com/rc/clk?jk=6b45e8485baeb132&fccid=15f43d82dc901ff2&vjs=3,https://www.indeed.com/cmp/Target
